feature,class_name,coefficient
alcohol,class_0,0.7210262450821615
malic_acid,class_0,0.16330729727358004
ash,class_0,0.4672360302712683
alcalinity_of_ash,class_0,-0.8131407704736255
magnesium,class_0,0.08095020376273317
total_phenols,class_0,0.22078347339181964
flavanoids,class_0,0.7011627911014541
nonflavanoid_phenols,class_0,-0.1052802087987331
proanthocyanins,class_0,0.13864452141954225
color_intensity,class_0,0.19497884144323785
hue,class_0,0.08745786840423882
od280/od315_of_diluted_wines,class_0,0.6512553682306609
proline,class_0,0.9185582742361885
alcohol,class_1,-0.841908958656634
malic_acid,class_1,-0.5093778317834313
ash,class_1,-0.7892575190027759
alcalinity_of_ash,class_1,0.514493930017592
magnesium,class_1,-0.12338858521225003
total_phenols,class_1,0.0518441723476175
flavanoids,class_1,0.18772620035183973
nonflavanoid_phenols,class_1,0.12711515250716077
proanthocyanins,class_1,0.37450028042626027
color_intensity,class_1,-1.0209140677241548
hue,class_1,0.6777926611802592
od280/od315_of_diluted_wines,class_1,-0.11176306930709343
proline,class_1,-0.9375447283304583
alcohol,class_2,0.12088271357447249
malic_acid,class_2,0.3460705345098513
ash,class_2,0.32202148873150815
alcalinity_of_ash,class_2,0.29864684045603257
magnesium,class_2,0.04243838144951759
total_phenols,class_2,-0.27262764573943654
flavanoids,class_2,-0.8888889914532935
nonflavanoid_phenols,class_2,-0.021834943708427968
proanthocyanins,class_2,-0.5131448018458026
color_intensity,class_2,0.8259352262809175
hue,class_2,-0.7652505295844984
od280/od315_of_diluted_wines,class_2,-0.5394922989235675
proline,class_2,0.01898645409426936
