model,feature,importance
AdaBoost,temperature,0.06204705458690658
AdaBoost,vibration,1.1549716499648129e-15
AdaBoost,pressure,0.10328701163712099
AdaBoost,rpm,6.824225044041066e-16
AdaBoost,oil_quality,0.06503520127400554
AdaBoost,load,0.026448752869192287
AdaBoost,age_months,0.33187687064023846
AdaBoost,error_count,0.1254094036057291
AdaBoost,sensor_9,1.091820287785761e-15
AdaBoost,sensor_10,0.19756347874918695
AdaBoost,sensor_11,0.08833222663761663
AdaBoost,sensor_12,4.407695893941473e-16
GradientBoosting,temperature,0.05918332765589638
GradientBoosting,vibration,0.01101795849562281
GradientBoosting,pressure,0.10188124897710443
GradientBoosting,rpm,0.0259985355093912
GradientBoosting,oil_quality,0.11999170720570781
GradientBoosting,load,0.19958698901119096
GradientBoosting,age_months,0.16212082436046454
GradientBoosting,error_count,0.0323070313873251
GradientBoosting,sensor_9,0.01129573981057142
GradientBoosting,sensor_10,0.05699933363655746
GradientBoosting,sensor_11,0.2126950681503125
GradientBoosting,sensor_12,0.00692223579985527
